"","tool","population","sensitivity","specificity"
"249","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.58029748226452,0.835246352893837
"250","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.538870457483497,0.818224929549823
"251","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.496573085302996,0.834749582952718
"252","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.354823512373365,0.826819419821398
"253","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.623774735427432,0.831082044687868
"254","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.465180153264673,0.808155378656365
"255","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.642536679662828,0.842716261575235
"256","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.587545643955813,0.825392973315268
"257","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.470727085885136,0.815314493342633
"258","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.525464811316158,0.823195617739723
"259","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.619027502627136,0.868406642617895
"260","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.363130575127684,0.846363299717204
"261","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.531223962287693,0.79722790517797
"262","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.644913113465581,0.83309140505538
"263","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.674587190754717,0.817904754757598
"264","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.520222864755047,0.817921459783849
"265","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.431260966995391,0.832854377638735
"266","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.618010252957706,0.798360046133309
"267","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.598607416298538,0.815129636290015
"268","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.378102987235888,0.80194320393013
"269","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.393675352639285,0.836737469228093
"270","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.529512062150194,0.817455160694221
"271","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.38721722255429,0.824792424060924
"272","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.41910979829561,0.832644024119627
"273","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.668014685175589,0.847179147517518
"274","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.396860648894254,0.773174528320549
"275","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.48528249519545,0.815743350631392
"276","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.446830653638446,0.822595388816189
"277","cfDNA Fragmentome LCr Score","Pre-fibrotic liver disease",0.417720801022064,0.832185553574411
