"","tool","population","sensitivity","specificity"
"198","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.835600673559409,0.824537633430083
"199","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.746391251282705,0.82978560212716
"200","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.766367141488458,0.79618425897111
"201","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.80562078064807,0.77093029942458
"202","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.825840717283048,0.83972897401956
"203","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.791777377641389,0.777293726936763
"204","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752735485597139,0.806873672285524
"205","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.72854374269623,0.826118310937562
"206","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765051345787037,0.821935168704904
"207","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.799360336143726,0.82446613800326
"208","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.767697342937614,0.818848737197683
"209","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.823164673390366,0.81937316231628
"210","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.760001656856879,0.868968609517762
"211","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.766400330668929,0.847537506872478
"212","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765242422747713,0.788397174197969
"213","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.79160026703021,0.868139598178548
"214","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752059781886696,0.824681971988398
"215","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.821514667563463,0.827749539413666
"216","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.748914649253759,0.781693196425235
"217","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.829041680296928,0.849119148564629
"218","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.739714207634961,0.831801279559327
"219","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.780318673614589,0.882790907611756
"220","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.741923967084426,0.811855819417082
"221","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.77936484698907,0.799662013867696
"222","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.85107599187068,0.808824327881365
"223","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.772670762302481,0.805167077386351
"224","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.756198618318615,0.804794333798179
"225","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.818269412003108,0.812881831018981
"226","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.775062371128002,0.818261452104029
"227","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.781428353816805,0.83577099547894
"228","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.749486200461281,0.829045665451268
"229","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.820852295195122,0.860414132797146
"230","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.809230414978486,0.836963049170429
"231","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.808861695417867,0.807944954010825
"232","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.805260728592333,0.779014630997466
"233","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.748481465457102,0.815434262452162
"234","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.80284648979244,0.802473677409069
"235","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.803098519037438,0.835919063499319
"236","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.755849689088916,0.835246352893837
"237","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.770788040125208,0.818224929549823
"238","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.727405538609514,0.834749582952718
"239","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.757456321638365,0.826819419821398
"240","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.777293292082607,0.831082044687868
"241","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.752312988693163,0.808155378656365
"242","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.748700805020768,0.842716261575235
"243","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.761538202058415,0.825392973315268
"244","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.774012125661957,0.815314493342633
"245","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.813402905686356,0.823195617739723
"246","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.782966480324733,0.868406642617895
"247","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.727776826984313,0.846363299717204
"248","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.746376486181038,0.79722790517797
"249","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.781399489528145,0.83309140505538
"250","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.765551609898757,0.817904754757598
"251","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.735955942091709,0.817921459783849
"252","cfDNA Fragmentome LCr Score","Advanced Fibrosis/Cirrhosis",0.811130320152914,0.832854377638735
